dates,price
2021-05-21,0.772577
2021-05-22,0.773174
2021-05-23,0.773013
2021-05-24,0.775188
2021-05-25,0.774893
2021-05-26,0.773898
2021-05-27,0.77403
2021-05-28,0.770838
2021-05-29,0.771123
2021-05-30,0.771111
2021-05-31,0.774575
2021-06-01,0.775098
2021-06-02,0.774353
2021-06-03,0.766501
2021-06-04,0.774204
2021-06-05,0.773778
2021-06-06,0.773808
2021-06-07,0.775555
2021-06-08,0.773658
2021-06-09,0.772875
2021-06-10,0.775116
2021-06-11,0.770226
2021-06-12,0.770517
2021-06-13,0.770897
2021-06-14,0.771409
2021-06-15,0.768439
2021-06-16,0.761238
2021-06-17,0.755749
2021-06-18,0.74782
2021-06-19,0.747787
2021-06-20,0.750317
2021-06-21,0.754216
2021-06-22,0.755607
2021-06-23,0.757329
2021-06-24,0.75819
2021-06-25,0.757163
2021-06-26,0.758685
2021-06-27,0.758927
2021-06-28,0.756641
2021-06-29,0.7511
2021-06-30,0.749901
2021-07-01,0.746826
2021-07-02,0.752598
2021-07-03,0.752581
2021-07-04,0.751919
2021-07-05,0.754256
2021-07-06,0.749625
2021-07-07,0.748447
2021-07-08,0.743456
2021-07-09,0.749148
2021-07-10,0.748581
2021-07-11,0.749008
2021-07-12,0.747831
2021-07-13,0.744186
2021-07-14,0.748005
2021-07-15,0.742027
2021-07-16,0.739481
2021-07-17,0.740291
2021-07-18,0.738629
2021-07-19,0.73402
2021-07-20,0.733374
2021-07-21,0.735391
2021-07-22,0.738438
2021-07-23,0.736258
2021-07-24,0.736485
2021-07-25,0.736735
2021-07-26,0.738427
2021-07-27,0.736665
2021-07-28,0.737648
2021-07-29,0.740088
2021-07-30,0.734231
2021-07-31,0.734484
2021-08-01,0.73422
2021-08-02,0.73629
2021-08-03,0.73982
2021-08-04,0.738051
2021-08-05,0.74056
2021-08-06,0.73524
2021-08-07,0.735078
2021-08-08,0.733611
2021-08-09,0.732993
2021-08-10,0.734603
2021-08-11,0.737583
2021-08-12,0.734117
2021-08-13,0.736193
2021-08-14,0.73699
2021-08-15,0.736621
2021-08-16,0.733956
2021-08-17,0.725663
2021-08-18,0.723453
2021-08-19,0.714587
2021-08-20,0.71373
2021-08-21,0.713481
2021-08-22,0.713908
2021-08-23,0.721069
2021-08-24,0.725289
2021-08-25,0.727384
2021-08-26,0.724181
2021-08-27,0.731342
2021-08-28,0.731181
2021-08-29,0.731433
2021-08-30,0.729256
2021-08-31,0.731609
2021-09-01,0.736561
2021-09-02,0.739902
2021-09-03,0.74499
2021-09-04,0.745762
2021-09-05,0.744857
2021-09-06,0.743821
2021-09-07,0.738732
2021-09-08,0.736334
2021-09-09,0.73673
2021-09-10,0.735186
2021-09-11,0.735581
2021-09-12,0.736621
2021-09-13,0.736719
2021-09-14,0.731813
2021-09-15,0.733859
2021-09-16,0.72907
2021-09-17,0.726485
2021-09-18,0.726591
2021-09-19,0.726269
2021-09-20,0.725863
2021-09-21,0.722658
2021-09-22,0.723275
2021-09-23,0.730225
2021-09-24,0.725484
2021-09-25,0.726232
2021-09-26,0.726317
2021-09-27,0.728019
2021-09-28,0.724055
2021-09-29,0.71769
2021-09-30,0.72282
2021-10-01,0.724748
2021-10-02,0.724727
2021-10-03,0.727823
2021-10-04,0.728842
2021-10-05,0.72872
2021-10-06,0.728152
2021-10-07,0.731379
2021-10-08,0.730583
2021-10-09,0.730615
2021-10-10,0.729416
2021-10-11,0.734797
2021-10-12,0.734441
2021-10-13,0.737871
2021-10-14,0.741631
2021-10-15,0.741658
2021-10-16,0.741669
2021-10-17,0.742793
2021-10-18,0.741026
2021-10-19,0.747339
2021-10-20,0.751942
2021-10-21,0.746402
2021-10-22,0.746642
2021-10-23,0.746636
2021-10-24,0.746536
2021-10-25,0.748918
2021-10-26,0.750666
2021-10-27,0.750463
2021-10-28,0.753324
2021-10-29,0.751987
2021-10-30,0.751976
2021-10-31,0.751569
2021-11-01,0.752112
2021-11-02,0.743307
2021-11-03,0.746213
2021-11-04,0.740637
2021-11-05,0.739815
2021-11-06,0.739787
2021-11-07,0.739891
2021-11-08,0.741543
2021-11-09,0.73724
2021-11-10,0.732907
2021-11-11,0.729054
2021-11-12,0.732842
2021-11-13,0.733391
2021-11-14,0.7331
2021-11-15,0.734711
2021-11-16,0.729714
2021-11-17,0.726623
2021-11-18,0.72776
2021-11-19,0.723458
2021-11-20,0.723317
2021-11-21,0.722993
2021-11-22,0.722789
2021-11-23,0.722277
2021-11-24,0.719999
2021-11-25,0.718025
2021-11-26,0.711551
2021-11-27,0.711572
2021-11-28,0.711572
